Index,Folder,Filename,Feature,Step Description,Recommended PPT Usage
1,01_launch,01_01_application_launch.png,Application Launch & Shell,01 01 Application Launch,Opening Title / Hero product introduction
2,01_launch,01_02_initial_dashboard.png,Application Launch & Shell,01 02 Initial Dashboard,Feature walkthrough slide
3,01_launch,01_03_sidebar_open.png,Application Launch & Shell,01 03 Sidebar Open,AI Safety & Data Governance slide
4,02_patient_creation,02_01_add_patient_button.png,Patient Onboarding Flow,02 01 Add Patient Button,Patient Data Isolation & Privacy slide
5,02_patient_creation,02_02_add_patient_form.png,Patient Onboarding Flow,02 02 Add Patient Form,Feature walkthrough slide
6,02_patient_creation,02_03_patient_details_entered.png,Patient Onboarding Flow,02 03 Patient Details Entered,AI Safety & Data Governance slide
7,02_patient_creation,02_04_first_document_required.png,Patient Onboarding Flow,02 04 First Document Required,Feature walkthrough slide
8,02_patient_creation,02_05_prescription_selected.png,Patient Onboarding Flow,02 05 Prescription Selected,Feature walkthrough slide
9,02_patient_creation,02_06_name_verification.png,Patient Onboarding Flow,02 06 Name Verification,Feature walkthrough slide
10,02_patient_creation,02_07_patient_processing.png,Patient Onboarding Flow,02 07 Patient Processing,Feature walkthrough slide
11,02_patient_creation,02_08_patient_created.png,Patient Onboarding Flow,02 08 Patient Created,Feature walkthrough slide
12,02_patient_creation,02_09_dashboard_after_patient_creation.png,Patient Onboarding Flow,02 09 Dashboard After Patient Creation,Feature walkthrough slide
13,03_document_upload,03_01_name_mismatch_popup.png,Clinical Safety & AI Verification,03 01 Name Mismatch Popup,AI Safety & Data Governance slide
14,03_document_upload,03_02_name_mismatch_yes.png,Clinical Safety & AI Verification,03 02 Name Mismatch Yes,AI Safety & Data Governance slide
15,03_document_upload,03_03_name_mismatch_no.png,Clinical Safety & AI Verification,03 03 Name Mismatch No,AI Safety & Data Governance slide
16,04_processing,04_01_documents_page_before_upload.png,AI Ingestion Pipeline,04 01 Documents Page Before Upload,Feature walkthrough slide
17,04_processing,04_02_upload_area.png,AI Ingestion Pipeline,04 02 Upload Area,Feature walkthrough slide
18,04_processing,04_07_gemini_processing.png,AI Ingestion Pipeline,04 07 Gemini Processing,Feature walkthrough slide
19,05_dashboard,05_01_pdf_upload.png,Multi-Format Ingestion & Dashboard,05 01 Pdf Upload,Feature walkthrough slide
20,05_dashboard,05_02_png_upload.png,Multi-Format Ingestion & Dashboard,05 02 Png Upload,Feature walkthrough slide
21,05_dashboard,05_03_jpg_upload.png,Multi-Format Ingestion & Dashboard,05 03 Jpg Upload,AI Safety & Data Governance slide
22,05_dashboard,05_04_jpeg_upload.png,Multi-Format Ingestion & Dashboard,05 04 Jpeg Upload,Feature walkthrough slide
23,05_dashboard,05_05_webp_upload.png,Multi-Format Ingestion & Dashboard,05 05 Webp Upload,Feature walkthrough slide
24,05_dashboard,07_01_dashboard_light.png,Multi-Format Ingestion & Dashboard,07 01 Dashboard Light,Primary PPT Hero / Closing demo slide
25,05_dashboard,07_02_dashboard_dark.png,Multi-Format Ingestion & Dashboard,07 02 Dashboard Dark,Feature walkthrough slide
26,06_documents,06_01_scanned_prescription_detected.png,Clinical Document Repository,06 01 Scanned Prescription Detected,Feature walkthrough slide
27,06_documents,09_01_documents_overview.png,Clinical Document Repository,09 01 Documents Overview,Feature walkthrough slide
28,06_documents,09_03_document_details.png,Clinical Document Repository,09 03 Document Details,AI Safety & Data Governance slide
29,07_timeline,08_01_sidebar_top.png,Longitudinal Health Story,08 01 Sidebar Top,Feature walkthrough slide
30,07_timeline,08_02_sidebar_middle.png,Longitudinal Health Story,08 02 Sidebar Middle,Feature walkthrough slide
31,07_timeline,08_03_sidebar_bottom.png,Longitudinal Health Story,08 03 Sidebar Bottom,AI Safety & Data Governance slide
32,07_timeline,10_01_timeline_overview.png,Longitudinal Health Story,10 01 Timeline Overview,Feature walkthrough slide
33,07_timeline,10_02_timeline_prescription.png,Longitudinal Health Story,10 02 Timeline Prescription,Feature walkthrough slide
34,08_trends,11_01_trends_page.png,Biomarker Analytics & Shifts,11 01 Trends Page,Feature walkthrough slide
35,08_trends,11_02_trend_chart.png,Biomarker Analytics & Shifts,11 02 Trend Chart,Feature walkthrough slide
36,09_medications,12_01_medications_overview.png,Therapeutic Regimen Tracking,12 01 Medications Overview,Feature walkthrough slide
37,09_medications,12_02_current_medications.png,Therapeutic Regimen Tracking,12 02 Current Medications,Feature walkthrough slide
38,09_medications,12_03_historical_medications.png,Therapeutic Regimen Tracking,12 03 Historical Medications,AI Safety & Data Governance slide
39,10_doctor_brief,13_01_doctor_brief_empty.png,AI Clinical Doctor Brief,13 01 Doctor Brief Empty,AI Doctor Brief & Clinical Continuity slide
40,10_doctor_brief,13_02_doctor_brief_generating.png,AI Clinical Doctor Brief,13 02 Doctor Brief Generating,AI Doctor Brief & Clinical Continuity slide
41,10_doctor_brief,13_04_doctor_brief_generated.png,AI Clinical Doctor Brief,13 04 Doctor Brief Generated,AI Doctor Brief & Clinical Continuity slide
42,10_doctor_brief,13_05_doctor_brief_ai_disclaimer.png,AI Clinical Doctor Brief,13 05 Doctor Brief Ai Disclaimer,AI Doctor Brief & Clinical Continuity slide
43,11_translation,14_01_translate_initial.png,Multilingual Regional Translation,14 01 Translate Initial,Multilingual Accessibility slide
44,11_translation,14_02_english_translation.png,Multilingual Regional Translation,14 02 English Translation,Multilingual Accessibility slide
45,11_translation,14_03_hindi_translation.png,Multilingual Regional Translation,14 03 Hindi Translation,Multilingual Accessibility slide
46,11_translation,14_04_bengali_translation.png,Multilingual Regional Translation,14 04 Bengali Translation,Multilingual Accessibility slide
47,11_translation,14_05_assamese_translation.png,Multilingual Regional Translation,14 05 Assamese Translation,Multilingual Accessibility slide
48,11_translation,14_06_odia_translation.png,Multilingual Regional Translation,14 06 Odia Translation,Multilingual Accessibility slide
